Individual,Sex,Tissue,Thr13C,Val13C,Leu13C,Ile13C,Phe13C,Lys13C
5774,male,Liver,1.0,-17.6,-21.8,-14.8,-20.1,-10.4
5774,male,Muscle,-1.4,-16.7,-20.6,-13.6,-20.9,-12.2
5774,male,Whisker,0.1,-17.8,-22.0,-14.0,-21.2,-9.0
5774,male,Bone,-8.5,-18.7,-24.7,-17.0,-20.0,-10.4
5818,female,Bone,-11.8,-19.7,-25.5,-19.4,-21.8,-10.9
5818,female,Liver,-7.7,-21.1,-25.8,-17.7,-22.0,-12.2
5818,female,Muscle,-8.0,-17.9,-23.8,-15.8,-21.2,-11.3
5818,female,Whisker,-7.0,-20.2,-25.6,-17.6,-22.2,-21.1
6234,female,Bone,-11.5,-18.1,-24.2,-17.8,-19.9,-10.3
6234,female,Liver,-5.6,-17.0,-22.2,-14.6,-19.5,-3.8
6234,female,Muscle,-7.3,-17.0,-22.8,-15.9,-19.7,-6.8
6234,female,Whisker,-6.4,-17.9,-23.9,-17.2,-20.3,-9.6
7105,male,Bone,-11.2,-17.7,-24.6,-16.1,-20.0,-7.6
7105,male,Muscle,-8.6,-16.1,-22.1,-14.2,-20.5,-10.5
7105,male,Liver,-1.4,-19.8,-23.5,-16.7,-22.1,-12.7
7105,male,Whisker,-2.9,-23.6,-24.8,-18.1,-23.5,-14.3
4923,male,Bone,-5.6,-19.2,-24.1,-16.5,-21.9,-12.8
4923,male,Liver,0.0,-17.7,-22.6,-15.5,-20.7,-13.4
4923,male,Muscle,-3.1,-16.9,-22.1,-13.7,-21.3,-12.7
4923,male,Whisker,-4.3,-19.9,-23.9,-16.9,-22.3,-17.8
6878,female,Bone,-4.8,-18.2,-23.7,-13.8,-21.7,-16.3
6878,female,Liver,-1.8,-18.2,-23.7,-14.0,-21.7,-13.4
6878,female,Muscle,-3.8,-17.3,-22.8,-12.9,-21.4,-11.3
6878,female,Whisker,-4.4,-18.7,-23.3,-15.5,-22.5,-19.4
3110,male,Bone,-4.2,-17.9,-22.7,-14.0,-21.5,-14.1
3110,male,Liver,-1.0,-19.6,-23.7,-16.5,-21.9,-15.3
3110,male,Whisker,-0.5,-17.4,-23.3,-14.8,-21.6,-16.0
3110,male,Muscle,-3.9,-19.5,-24.5,-14.8,-24.1,-16.3
7089,female,Bone,-2.4,-16.9,-22.2,-13.2,-21.0,-12.7
7089,female,Muscle,-4.0,-17.3,-21.3,-14.5,-21.0,-14.1
7089,female,Whisker,0.7,-13.9,-19.8,-13.3,-18.8,-16.9
7089,female,Liver,2.2,-16.2,-20.9,-13.7,-19.8,-11.6
7060,female,Bone,-3.8,-18.6,-23.0,-15.7,-23.3,-14.3
7060,female,Liver,-2.1,-19.8,-23.7,-16.9,-23.4,-15.3
7060,female,Muscle,-3.3,-18.2,-23.3,-14.9,-23.5,-14.0
7060,female,Whisker,-4.1,-19.1,-23.0,-15.9,-23.6,-17.3
4981,male,Bone,-6.3,-20.6,-24.7,-18.1,-24.5,-20.0
4981,male,Muscle,-5.9,-19.2,-24.3,-15.1,-23.8,-15.8
4981,male,Whisker,-6.0,-20.2,-24.1,-15.1,-24.0,-16.6
4981,male,Liver,-1.7,-19.8,-23.7,-14.9,-22.8,-15.9